Date,Action/State,price
"2020-09-29, Close, 2051.02"
"2020-09-30, Close, 2041.25"
"2020-10-01, Close, 2032.93"
"2020-10-05, Close, 2021.01"
"2020-10-06, Close, 2019.32"
"2020-10-07, Close, 2062.40"
"2020-10-08, Close, 2045.72"
"2020-10-09, Close, 2040.42"
"2020-10-12, Close, 2043.71"
"2020-10-13, Close, 2083.59"
"2020-10-14, Close, 2089.80"
"2020-10-15, Close, 2015.80"
"2020-10-16, Close, 1987.76"
"2020-10-19, Close, 1988.12"
"2020-10-20, Close, 1969.58"
"2020-10-21, Close, 1940.98"
"2020-10-22, Close, 1924.86"
"2020-10-23, Close, 1930.43"
"2020-10-26, Close, 1853.73"
"2020-10-27, Close, 1858.67"
"2020-10-28, Close, 1837.61"
"2020-10-29, Close, 1851.72"
"2020-10-30, Close, 1876.94"
"2020-11-02, Close, 1715.19"
"2020-11-03, Close, 1690.48"
"2020-11-04, Close, 1747.85"
"2020-11-05, Close, 1786.04"
"2020-11-06, Close, 1853.78"
"2020-11-09, Close, 1873.47"
"2020-11-10, Close, 1904.39"
"2020-11-11, Close, 1824.59"
"2020-11-12, Close, 1808.88"
"2020-11-13, Close, 1823.86"
"2020-11-14, Close, 1829.25"
"2020-11-17, Close, 1820.98"
"2020-11-18, Close, 1815.46"
"2020-11-19, Close, 1802.62"
"2020-11-20, Close, 1735.34"
"2020-11-23, Close, 1782.11"
"2020-11-24, Close, 1794.31"
"2020-11-25, Close, 1779.46"
"2020-11-26, Close, 1783.85"
"2020-11-27, Close, 1763.02"
"2020-12-01, Close, 1785.95"
"2020-12-02, Close, 1788.92"
"2020-12-03, Close, 1794.31"
"2020-12-04, Close, 1778.50"
"2020-12-07, Close, 1788.96"
"2020-12-08, Close, 1821.44"
"2020-12-09, Close, 1851.77"
"2020-12-10, Close, 1833.54"
"2020-12-11, Close, 1832.45"
"2020-12-14, Close, 1819.20"
"2020-12-15, Close, 1803.72"
"2020-12-16, Close, 1805.73"
"2020-12-17, Close, 1813.99"
"2020-12-18, Close, 1819.43"
"2020-12-21, Close, 1772.06"
"2020-12-22, Close, 1769.32"
"2020-12-23, Close, 1775.85"
"2020-12-24, Close, 1821.80"
"2020-12-28, Close, 1830.16"
"2020-12-29, Close, 1818.06"
"2020-12-30, Close, 1823.04"
"2020-12-31, Close, 1813.72"
"2021-01-01, Close, 1815.73"
"2021-01-04, Close, 1818.79"
"2021-01-05, Close, 1796.18"
"2021-01-06, Close, 1748.81"
"2021-01-07, Close, 1745.98"
"2021-01-08, Close, 1766.58"
"2021-01-11, Close, 1733.28"
"2021-01-12, Close, 1787.91"
"2021-01-13, Close, 1771.24"
"2021-01-14, Close, 1791.15"
"2021-01-15, Close, 1770.01"
"2021-01-18, Close, 1812.49"
"2021-01-19, Close, 1842.13"
"2021-01-20, Close, 1877.12"
"2021-01-21, Close, 1917.96"
"2021-01-22, Close, 1872.46"
"2021-01-25, Close, 1773.25"
"2021-01-27, Close, 1731.22"
"2021-01-28, Close, 1714.37"
"2021-01-29, Close, 1682.76"
"2021-02-01, Close, 1731.50"
"2021-02-02, Close, 1759.36"
"2021-02-03, Close, 1763.79"
"2021-02-04, Close, 1757.99"
"2021-02-05, Close, 1757.49"
"2021-02-08, Close, 1782.80"
"2021-02-09, Close, 1787.09"
"2021-02-10, Close, 1803.67"
"2021-02-11, Close, 1878.04"
"2021-02-12, Close, 1865.15"
"2021-02-15, Close, 1856.93"
"2021-02-16, Close, 1881.51"
"2021-02-17, Close, 1903.20"
"2021-02-18, Close, 1889.00"
"2021-02-19, Close, 1900.51"
"2021-02-22, Close, 1834.55"
"2021-02-23, Close, 1848.57"
"2021-02-24, Close, 1882.88"
"2021-02-25, Close, 1959.02"
"2021-02-26, Close, 1905.53"
"2021-03-01, Close, 1920.06"
"2021-03-02, Close, 1923.99"
"2021-03-03, Close, 2011.78"
"2021-03-04, Close, 1987.80"
"2021-03-05, Close, 1990.40"
"2021-03-08, Close, 2001.73"
"2021-03-09, Close, 2001.69"
"2021-03-10, Close, 1993.37"
"2021-03-12, Close, 1952.86"
"2021-03-15, Close, 1926.64"
"2021-03-16, Close, 1919.05"
"2021-03-17, Close, 1877.72"
"2021-03-18, Close, 1835.46"
"2021-03-19, Close, 1902.06"
"2021-03-22, Close, 1884.16"
"2021-03-23, Close, 1907.09"
"2021-03-24, Close, 1870.36"
"2021-03-25, Close, 1819.34"
"2021-03-26, Close, 1822.26"
"2021-03-30, Close, 1853.92"
"2021-03-31, Close, 1829.98"
"2021-04-01, Close, 1847.11"
"2021-04-05, Close, 1820.39"
"2021-04-06, Close, 1812.81"
"2021-04-07, Close, 1829.75"
"2021-04-08, Close, 1832.04"
"2021-04-09, Close, 1810.75"
"2021-04-12, Close, 1745.98"
"2021-04-13, Close, 1764.84"
"2021-04-15, Close, 1776.26"
"2021-04-16, Close, 1765.12"
"2021-04-19, Close, 1737.34"
"2021-04-20, Close, 1736.84"
"2021-04-22, Close, 1741.64"
"2021-04-23, Close, 1739.77"
"2021-04-26, Close, 1770.37"
"2021-04-27, Close, 1816.78"
"2021-04-28, Close, 1824.68"
"2021-04-29, Close, 1849.12"
"2021-04-30, Close, 1822.12"
"2021-05-03, Close, 1789.74"
"2021-05-04, Close, 1750.96"
"2021-05-05, Close, 1754.15"
"2021-05-06, Close, 1764.11"
"2021-05-07, Close, 1764.80"
"2021-05-10, Close, 1759.73"
"2021-05-11, Close, 1766.08"
"2021-05-12, Close, 1747.81"
"2021-05-14, Close, 1769.87"
"2021-05-17, Close, 1790.93"
"2021-05-18, Close, 1816.14"
"2021-05-19, Close, 1824.45"
"2021-05-20, Close, 1813.81"
"2021-05-21, Close, 1829.48"
"2021-05-24, Close, 1814.04"
"2021-05-25, Close, 1793.48"
"2021-05-26, Close, 1799.79"
"2021-05-27, Close, 1805.31"
"2021-05-28, Close, 1913.76"
"2021-05-31, Close, 1973.60"
"2021-06-01, Close, 1981.45"
"2021-06-02, Close, 2011.01"
"2021-06-03, Close, 2018.68"
"2021-06-04, Close, 2001.19"
"2021-06-07, Close, 2034.90"
"2021-06-08, Close, 2023.20"
"2021-06-09, Close, 1987.02"
"2021-06-10, Close, 1994.33"
"2021-06-11, Close, 2028.93"
"2021-06-14, Close, 2058.03"
"2021-06-15, Close, 2062.71"
"2021-06-16, Close, 2027.51"
"2021-06-17, Close, 2031.22"
"2021-06-18, Close, 2040.39"
"2021-06-21, Close, 2051.02"
"2021-06-22, Close, 2040.48"
"2021-06-23, Close, 2021.78"
"2021-06-24, Close, 1974.24"
"2021-06-25, Close, 1929.27"
"2021-06-28, Close, 1912.36"
"2021-06-29, Close, 1914.01"
"2021-06-30, Close, 1934.96"
"2021-07-01, Close, 1923.32"
"2021-07-02, Close, 1951.83"
"2021-07-05, Close, 1971.22"
"2021-07-06, Close, 1947.93"
"2021-07-07, Close, 1934.41"
"2021-07-08, Close, 1918.41"
"2021-07-09, Close, 1898.79"
"2021-07-12, Close, 1910.62"
"2021-07-13, Close, 1924.92"
"2021-07-14, Close, 1912.36"
"2021-07-15, Close, 1909.01"
"2021-07-16, Close, 1936.56"
"2021-07-19, Close, 1924.23"
"2021-07-20, Close, 1919.51"
"2021-07-22, Close, 1944.17"
"2021-07-23, Close, 1930.42"
"2021-07-26, Close, 1903.97"
"2021-07-27, Close, 1883.94"
"2021-07-28, Close, 1867.76"
"2021-07-29, Close, 1882.34"
"2021-07-30, Close, 1865.88"
"2021-08-02, Close, 1899.98"
"2021-08-03, Close, 1913.96"
"2021-08-04, Close, 1928.63"
"2021-08-05, Close, 1956.59"
